m2,quartos,vagas,bairro,valor
209.0,3,3,Zona 3,217545.3
192.0,2,1,Zona 7,197095.89
62.0,4,0,Zona 4,103074.6
120.0,3,2,Zona 4,179485.37
76.0,1,3,Zona 2,105597.81
42.0,4,1,Zona 4,79377.04
71.0,1,2,Zona 3,84340.27
56.0,3,0,Zona 5,50923.39
158.0,3,1,Zona 3,146817.35
218.0,1,2,Zona 7,209798.3
110.0,1,1,Zona 7,115782.04
44.0,2,0,Zona 2,73495.41
42.0,3,0,Zona 7,61704.25
68.0,3,1,Zona 3,90985.72
260.0,2,2,Zona 6,344378.11
171.0,3,3,Zona 4,234163.6
87.0,1,2,Zona 2,97693.27
123.0,3,0,Zona 5,117951.29
256.0,2,1,Zona 7,257958.43
223.0,4,1,Zona 4,280088.15
256.0,1,3,Zona 2,251965.65
79.0,1,2,Zona 5,75212.25
107.0,1,0,Zona 7,105637.64
141.0,2,2,Zona 8,187312.5
82.0,4,3,Zona 6,160851.11
222.0,2,1,Zona 5,194421.99
285.0,4,2,Zona 6,415344.43
247.0,1,2,Zona 7,237454.22
127.0,1,1,Zona 7,114912.51
148.0,2,2,Zona 7,164235.86
74.0,1,0,Zona 1,96315.96
103.0,1,3,Zona 4,128478.57
243.0,3,3,Zona 3,250776.99
73.0,1,1,Zona 6,99299.37
281.0,1,1,Zona 4,317788.07
279.0,1,2,Zona 5,238127.18
42.0,1,3,Zona 5,55885.87
70.0,3,2,Zona 1,119439.92
291.0,2,3,Zona 2,286828.39
227.0,4,2,Zona 4,283463.59
80.0,2,3,Zona 7,120404.14
238.0,1,0,Zona 1,301116.0
178.0,2,1,Zona 6,245539.09
104.0,2,0,Zona 6,161888.71
279.0,4,0,Zona 3,262674.68
218.0,3,0,Zona 3,206521.94
211.0,4,0,Zona 3,203360.74
150.0,3,1,Zona 7,181644.36
153.0,1,3,Zona 4,188264.07
52.0,3,1,Zona 5,77737.41
136.0,3,2,Zona 1,191442.24
84.0,1,3,Zona 7,104295.72
114.0,2,3,Zona 2,133009.63
170.0,4,0,Zona 2,204096.71
99.0,3,1,Zona 1,148972.47
150.0,2,3,Zona 7,186534.7
213.0,4,1,Zona 3,215374.09
107.0,2,2,Zona 8,136868.14
196.0,2,3,Zona 5,183628.16
206.0,1,0,Zona 4,245512.67
201.0,3,1,Zona 5,173700.42
192.0,4,1,Zona 6,271704.14
96.0,4,3,Zona 8,158834.31
168.0,2,1,Zona 4,211085.33
221.0,3,1,Zona 2,247856.26
261.0,1,1,Zona 3,244617.58
114.0,2,1,Zona 3,121813.96
119.0,1,2,Zona 5,109761.5
206.0,1,2,Zona 3,196398.78
263.0,3,1,Zona 1,335388.52
249.0,4,0,Zona 2,266834.14
168.0,3,1,Zona 7,169542.85
284.0,4,1,Zona 2,290989.5
255.0,1,1,Zona 8,264981.11
241.0,3,0,Zona 3,246285.08
83.0,2,1,Zona 6,129886.83
72.0,2,3,Zona 2,105976.97
227.0,1,2,Zona 3,214822.71
290.0,1,1,Zona 4,330190.06
97.0,2,0,Zona 7,91415.6
77.0,4,0,Zona 7,104243.09
103.0,4,0,Zona 5,128123.22
281.0,3,0,Zona 2,276801.64
58.0,1,3,Zona 7,65675.47
149.0,4,1,Zona 3,161011.28
236.0,4,2,Zona 4,303147.64
55.0,4,1,Zona 4,89378.19
94.0,4,1,Zona 5,110598.26
296.0,2,0,Zona 5,229852.48
82.0,3,1,Zona 5,89297.51
178.0,1,2,Zona 6,249387.47
262.0,1,0,Zona 5,211940.71
283.0,4,3,Zona 7,293361.2
193.0,1,0,Zona 8,208364.34
127.0,4,0,Zona 3,131291.18
279.0,4,3,Zona 5,255548.96
90.0,4,3,Zona 4,141308.09
123.0,4,2,Zona 7,164624.6
279.0,4,3,Zona 4,352397.65
135.0,4,1,Zona 3,153417.93
150.0,3,0,Zona 7,170615.07
69.0,1,3,Zona 5,59387.3
231.0,4,2,Zona 6,332894.61
179.0,1,1,Zona 8,186838.63
103.0,2,3,Zona 5,102501.83
284.0,4,1,Zona 6,412296.61
245.0,3,3,Zona 8,291825.1
165.0,4,2,Zona 6,245324.2
146.0,3,0,Zona 8,185546.8
195.0,3,1,Zona 2,216989.3
41.0,3,2,Zona 3,67127.9
251.0,1,1,Zona 5,208669.13
288.0,2,1,Zona 6,393563.38
117.0,1,2,Zona 6,160910.59
217.0,4,3,Zona 8,291610.86
168.0,3,0,Zona 6,243317.33
295.0,4,3,Zona 4,351234.0
241.0,2,0,Zona 7,231631.11
258.0,1,0,Zona 3,222263.85
230.0,1,1,Zona 3,210507.72
259.0,4,0,Zona 4,318496.57
243.0,4,3,Zona 5,253076.48
205.0,2,2,Zona 4,260068.48
162.0,1,3,Zona 2,191445.89
63.0,1,1,Zona 3,56493.54
267.0,3,1,Zona 6,380466.45
46.0,3,3,Zona 4,85681.33
212.0,2,2,Zona 7,210944.93
71.0,1,1,Zona 6,108988.46
238.0,1,3,Zona 3,221636.3
262.0,4,2,Zona 5,253839.29
298.0,2,2,Zona 7,287778.01
205.0,4,3,Zona 2,235709.74
94.0,1,2,Zona 6,127804.16
82.0,3,2,Zona 6,153580.74
283.0,4,2,Zona 3,272272.56
184.0,4,1,Zona 7,205277.6
256.0,2,2,Zona 1,352356.23
138.0,4,3,Zona 8,195180.81
137.0,3,2,Zona 2,162018.35
261.0,1,3,Zona 5,227335.83
74.0,1,0,Zona 2,85751.89
69.0,3,1,Zona 5,72361.28
79.0,3,2,Zona 4,126437.31
243.0,3,0,Zona 3,217027.47
207.0,1,2,Zona 1,262891.71
89.0,3,1,Zona 1,131423.23
80.0,4,1,Zona 1,127491.13
273.0,3,1,Zona 3,268167.26
297.0,2,1,Zona 3,266434.66
76.0,1,3,Zona 7,79497.13
161.0,2,1,Zona 8,187134.14
86.0,2,1,Zona 4,121225.77
74.0,1,2,Zona 2,104685.82
42.0,1,3,Zona 1,73033.14
121.0,2,2,Zona 5,116048.83
215.0,4,0,Zona 7,232543.03
252.0,3,0,Zona 7,258492.17
49.0,2,3,Zona 3,84672.06
256.0,3,1,Zona 1,325535.51
70.0,4,3,Zona 7,123786.01
260.0,1,1,Zona 4,284459.07
193.0,4,0,Zona 5,182014.3
172.0,3,0,Zona 5,151383.97
300.0,3,2,Zona 7,280134.62
64.0,4,1,Zona 1,115779.97
127.0,3,3,Zona 5,135123.64
283.0,2,1,Zona 8,321542.53
167.0,1,0,Zona 2,161985.48
157.0,1,2,Zona 4,197817.22
254.0,2,1,Zona 7,244410.17
261.0,2,3,Zona 4,306248.53
48.0,1,2,Zona 3,61901.81
143.0,2,0,Zona 2,151247.42
158.0,1,2,Zona 5,147758.54
170.0,4,2,Zona 4,232144.16
175.0,4,0,Zona 2,195982.2
115.0,1,2,Zona 1,147873.66
125.0,4,3,Zona 1,195572.29
282.0,3,2,Zona 5,261621.57
66.0,4,0,Zona 6,98828.42
214.0,4,0,Zona 4,252172.34
205.0,4,0,Zona 8,255008.0
51.0,1,3,Zona 1,80461.78
300.0,1,0,Zona 7,275690.11
112.0,2,0,Zona 4,142026.7
108.0,2,2,Zona 5,127385.54
241.0,2,3,Zona 5,213716.13
269.0,1,3,Zona 3,273433.74
245.0,2,2,Zona 7,251215.56
283.0,4,0,Zona 3,273373.68
122.0,2,3,Zona 2,148273.06
140.0,4,2,Zona 3,184379.06
110.0,2,2,Zona 3,116940.73
142.0,1,0,Zona 8,151052.79
73.0,3,0,Zona 1,124769.73
273.0,4,2,Zona 6,402445.21
228.0,4,2,Zona 8,284021.08
212.0,2,1,Zona 2,199300.07
274.0,2,3,Zona 6,388290.6
155.0,4,3,Zona 1,238716.36
155.0,2,3,Zona 3,175024.76
154.0,4,0,Zona 1,212306.34
130.0,3,1,Zona 8,165281.32
160.0,1,1,Zona 7,156600.07
178.0,4,1,Zona 4,254243.42
201.0,4,2,Zona 5,204779.15
272.0,4,3,Zona 7,292578.55
286.0,4,0,Zona 8,324057.59
128.0,3,3,Zona 6,200648.74
238.0,1,2,Zona 4,258916.8
165.0,1,2,Zona 4,203838.6
193.0,4,2,Zona 4,247875.13
134.0,3,2,Zona 5,120892.68
184.0,1,0,Zona 8,204843.7
69.0,2,0,Zona 5,83872.94
41.0,2,2,Zona 8,67213.37
123.0,3,3,Zona 8,153702.56
288.0,4,0,Zona 6,405866.46
74.0,4,2,Zona 6,143083.35
160.0,1,2,Zona 5,151520.98
238.0,3,3,Zona 4,300641.93
299.0,1,0,Zona 3,257258.54
121.0,2,0,Zona 1,154672.97
67.0,2,0,Zona 4,93481.7
101.0,3,2,Zona 4,161730.43
260.0,2,3,Zona 6,375030.71
259.0,3,1,Zona 5,227996.55
46.0,1,0,Zona 2,51995.04
213.0,3,3,Zona 1,298614.65
69.0,4,0,Zona 7,88032.09
154.0,3,0,Zona 1,206645.8
265.0,4,3,Zona 8,321556.94
186.0,1,2,Zona 8,218723.87
76.0,1,0,Zona 1,102664.56
293.0,4,1,Zona 2,330940.8
128.0,2,2,Zona 4,151449.13
162.0,2,2,Zona 1,205327.85
165.0,2,2,Zona 5,153860.31
264.0,2,0,Zona 7,246398.09
92.0,4,0,Zona 2,126441.15
105.0,4,2,Zona 6,187375.23
214.0,4,1,Zona 8,251920.89
245.0,4,0,Zona 1,320106.91
175.0,4,2,Zona 6,275787.1
218.0,1,2,Zona 5,189219.52
53.0,1,0,Zona 5,62279.99
254.0,3,1,Zona 1,321409.82
262.0,1,1,Zona 6,349093.3
172.0,4,3,Zona 2,204123.19
270.0,4,0,Zona 7,274078.43
76.0,3,3,Zona 5,98559.77
300.0,3,2,Zona 3,274951.37
109.0,3,0,Zona 6,162420.06
137.0,3,1,Zona 8,175153.16
154.0,4,3,Zona 3,177957.05
119.0,4,1,Zona 6,197405.19
50.0,3,1,Zona 8,64659.04
137.0,4,2,Zona 6,220569.56
140.0,2,2,Zona 5,116150.11
223.0,3,1,Zona 1,292505.15
147.0,1,0,Zona 7,144057.25
92.0,1,1,Zona 1,121990.26
242.0,1,0,Zona 3,221780.34
52.0,2,3,Zona 4,84685.82
241.0,4,3,Zona 8,296280.36
87.0,3,3,Zona 4,119123.96
64.0,3,2,Zona 3,87625.09
76.0,4,1,Zona 1,142411.82
217.0,2,2,Zona 1,294784.16
242.0,1,3,Zona 6,346365.05
164.0,1,0,Zona 4,181358.25
264.0,2,0,Zona 5,211769.97
132.0,1,3,Zona 1,207624.76
106.0,3,2,Zona 6,160686.68
69.0,1,3,Zona 3,54969.24
89.0,4,0,Zona 5,104449.25
83.0,3,0,Zona 8,112745.35
116.0,3,2,Zona 4,160032.45
246.0,1,3,Zona 7,240024.25
197.0,4,1,Zona 5,191227.02
124.0,1,1,Zona 7,129695.69
271.0,1,2,Zona 6,361706.87
152.0,3,3,Zona 5,170407.37
65.0,1,0,Zona 6,95561.89
193.0,3,3,Zona 3,207135.69
122.0,1,2,Zona 3,127272.54
43.0,3,0,Zona 3,68969.92
48.0,2,2,Zona 6,89748.58
118.0,1,3,Zona 2,124551.94
76.0,1,3,Zona 7,96916.69
72.0,1,2,Zona 2,86998.91
191.0,3,1,Zona 8,224666.98
87.0,3,3,Zona 6,152424.54
129.0,4,2,Zona 4,191422.27
169.0,3,2,Zona 8,222092.78
211.0,1,0,Zona 3,183221.92
291.0,1,0,Zona 8,324898.44
237.0,4,1,Zona 1,339370.58
276.0,4,0,Zona 4,337079.52
72.0,3,1,Zona 2,112946.15
184.0,4,3,Zona 2,210850.96
225.0,4,3,Zona 5,219243.51
180.0,2,1,Zona 6,247267.15
188.0,4,3,Zona 8,253036.31
288.0,2,1,Zona 2,300337.8
